4-30-2018-9:17:19162,t60,0,10
28280,600,1,01
28297,501,8,0F990ED0022F022D
28424,501,8,0F980ED002310232
28440,123,2,ABCD
28536,501,8,0F9B0ED0022B022D
28648,123,2,ABCD
28663,501,8,0F950ED00214021A
28775,600,1,01
28839,123,2,ABCD
28904,501,8,0F950ED0022D022D
29015,501,8,0FA00ED0022E022F
29047,123,2,ABCD
29143,501,8,0F9A0ED002310232
29239,123,2,ABCD
29255,501,8,0F9A0ED002370230
29287,600,1,01
29382,501,8,0F9A0ED0022D022C
29447,123,2,ABCD
29495,501,8,0F980ED00231022A
29623,501,8,0FA00ED00229022E
29638,123,2,ABCD
29734,501,8,0F990ED002310232
29785,600,1,01
29848,123,2,ABCD
29864,501,8,0F980ED0022E022E
29975,501,8,0F950ED002250220
30039,123,2,ABCD
30111,501,8,0F980ED0022D0228
30226,501,8,0F9F0ED002320228
30245,123,2,ABCD
30278,600,1,01
30342,501,8,0F960ED00233022D
30438,123,2,ABCD
30453,501,8,0F990ED002300229
30582,501,8,0F980ED40231022C
30646,123,2,ABCD
30694,501,8,0F950ED4022D022C
30774,600,1,01
30822,501,8,0FA00ED0022A0227
30837,123,2,ABCD
30933,501,8,0F910ED0022D0230
31046,123,2,ABCD
31061,501,8,0F940ED00229022C
31189,501,8,0F960ED002320230
31237,123,2,ABCD
31285,600,1,01
31301,501,8,0F930ED0022C022C
31413,501,8,0FA00ED0022E022F
31445,123,2,ABCD
31540,501,8,0F980ED0022C0230
31636,123,2,ABCD
31669,501,8,0F990ED0022D0230
31780,600,1,01
31844,123,2,ABCD
31908,501,8,0F930ED0022A022F
32021,501,8,0F930ED00230022C
32036,123,2,ABCD
32148,501,8,0F940ED0022D022C
32244,123,2,ABCD
32260,501,8,0F990ED0022C022E
32276,600,1,01
32387,501,8,0F950ED0022C0230
32435,123,2,ABCD
32500,501,8,0F980ED00222021E
32628,501,8,0F990ED0022F022C
32643,123,2,ABCD
32739,501,8,0F950ED002310230
32771,600,1,01
32836,123,2,ABCD
32867,501,8,0F910ED0020101E8
32979,501,8,0F980ED00230022C
33042,123,2,ABCD
33107,501,8,0F990ED0022E0232
33219,501,8,0F9B0ED0022E022A
33235,123,2,ABCD
33283,600,1,01
33346,501,8,0F950ED0022A022B
33442,123,2,ABCD
33458,501,8,0F950ED40231022C
33587,501,8,0F9B0ED0022A0226
33634,123,2,ABCD
33697,501,8,0F990ED002310227
33778,600,1,01
33826,501,8,0F950ED00233022B
33842,123,2,ABCD
33938,501,8,0F960ED0022E0226
34034,123,2,ABCD
34065,501,8,0F930ED0022E022E
34177,501,8,0F9D0ED0022B0228
34242,123,2,ABCD
34274,600,1,01
34305,501,8,0F9B0ED00231022A
34417,501,8,0F950ED00234022C
34433,123,2,ABCD
34545,501,8,0F940ED0022F022E
