4-30-2018-7:20:45109,501,8,0E8A0E9402B502D3
30609,501,8,0E710E9002E80312
30657,600,1,01
30672,123,2,ABCD
30688,6B1,8,00DC0007191900CE
30736,501,8,0E680E9102C602E6
30769,490,3,900000
30800,6B1,8,00DC0007191900CE
30848,501,8,0E750E9402A802B8
30865,490,3,900000
30896,6B1,8,00DC0007191900CE
30912,200,1,4A
30960,490,3,900000
30975,501,8,0E6B0E9402A302A8
31008,6B1,8,00DC0007191900CE
31056,490,3,900000
31071,123,2,ABCD
31088,501,8,0E5F0E90030D034A
31105,6B1,8,00DC0007191900CE
31152,600,1,01
31168,200,1,4A
31216,501,8,0E7A0E9002E00312
31264,490,3,900000
31312,6B1,8,00DC0007191900CE
31328,501,8,0E5F0E8C02BC02E2
31360,490,3,900000
31409,200,1,4A
31424,6B1,8,00DC0007191900CE
31455,501,8,0E700E8C02B902F0
31472,123,2,ABCD
31535,6B1,8,00DC0007191900CE
31568,490,3,900000
31632,6B1,8,00DC0007191900CE
31647,600,1,01
31664,200,1,4A
31680,123,2,ABCD
31695,501,8,0E5F0E94029002A8
31743,6B1,8,00DC0007191900CE
31759,490,3,900000
31807,501,8,0E730E8E02A402A2
31840,6B1,8,00DC0007191900CE
31855,490,3,900000
31872,123,2,ABCD
31903,200,1,4A
31936,501,8,0E7A0E8C029E02A8
31951,6B1,8,00DC0007191900CE
31967,490,3,900000
32046,6B1,8,00DC0007191900CE
32063,490,3,900000
32079,123,2,ABCD
32170,6B1,8,00DC0007191900CE
32249,6B1,8,00DC0007191900CE
32266,490,3,900000
32297,501,8,0E650E6002AF02D0
32361,6B1,8,00DC0007191900CE
32409,200,1,0A
32457,490,3,900000
32473,123,2,ABCD
32538,501,8,0E660E9404790502
32553,490,3,900000
32569,6B1,8,00DC0007191900CE
32649,501,8,0E710E9403DD042A
32680,200,1,4A
32759,490,3,900000
32776,501,8,0E6A0E9702B002C0
32856,490,3,900000
32872,123,2,ABCD
32888,6B1,8,00DC0007191900CE
32904,200,1,4A
32952,490,3,900000
32967,001,0,00
32984,6B1,8,00DC0007191900CE
33015,501,8,0E750EA40582060B
33063,490,3,900000
33080,123,2,ABCD
33096,6B1,8,00DC0007191900CE
33127,501,8,0E7B0EA406780746
33159,600,1,01
33192,6B1,8,00DC0007191900CE
33256,501,8,0E730EB4062406F8
